station_id,name,state,county,elevation_ft,latitude,longitude,huc,actonId,shefId,beginDate,endDate,network,distance_km
1107,Buckinghorse,WA,Jefferson,4860.0,47.7086,-123.45747,171100200501,,BKHW1,2008-06-19 00:00,2100-01-01 00:00,SNTL,35.6734632685825
974,Waterhole,WA,Clallam,5010.0,47.94485,-123.42594,171100200506,,WHSW1,1999-09-30 00:00,2100-01-01 00:00,SNTL,38.61191386590258
1126,Mt. Tebo,WA,Mason,3370.0,47.46061,-123.41219,171100170101,,TEBW1,2020-07-08 00:00,2100-01-01 00:00,SNTL,54.217549417017544
