station_id,name,state,county,elevation_,latitude,longitude,huc,actonId,shefId,beginDate,endDate,network,identifier
"384",Canyon,WY,Park,7870.000000000000000,44.719610000000003,-110.510840000000002,"100700010705",,CANW4,1960-10-01 00:00,2100-01-01 00:00,SNTL,USGS-06191500
"670",Northeast Entrance,MT,Park,7420.000000000000000,45.005679999999998,-110.014110000000002,"100700010602",,NORM8,1937-10-01 00:00,2100-01-01 00:00,SNTL,USGS-06191500
"683",Parker Peak,WY,Park,9420.000000000000000,44.733960000000003,-109.914839999999998,"100700010502",,PRKW4,1979-10-01 00:00,2100-01-01 00:00,SNTL,USGS-06191500
"806",Sylvan Lake,WY,Park,8440.000000000000000,44.477640000000001,-110.156509999999997,"100700010404",,SYLW4,1978-10-01 00:00,2100-01-01 00:00,SNTL,USGS-06191500
"816",Thumb Divide,WY,Teton,7970.000000000000000,44.369169999999997,-110.577169999999995,"100700010409",,THUW4,1987-09-30 00:00,2100-01-01 00:00,SNTL,USGS-06191500
